id,properties
30237025,"{'y': 41.3715642, 'x': 2.1199789, 'street_count': 3}"
30237052,"{'y': 41.3728702, 'x': 2.1176629, 'street_count': 3}"
30237053,"{'y': 41.3718923, 'x': 2.1185028, 'street_count': 4}"
30237055,"{'y': 41.3710638, 'x': 2.1192551, 'street_count': 4}"
30237057,"{'y': 41.3696609, 'x': 2.1209051, 'street_count': 4}"
30237058,"{'y': 41.369055, 'x': 2.1213629, 'street_count': 3}"
30237070,"{'y': 41.3724866, 'x': 2.1168674, 'street_count': 4}"
30237071,"{'y': 41.3715421, 'x': 2.1176743, 'highway': 'crossing', 'street_count': 4}"
30237072,"{'y': 41.3710661, 'x': 2.1180828, 'street_count': 3}"
30237073,"{'y': 41.370564, 'x': 2.1185188, 'street_count': 4}"
30237074,"{'y': 41.3690711, 'x': 2.1197732, 'street_count': 3}"
30237075,"{'y': 41.3694368, 'x': 2.1204638, 'street_count': 3}"
30237077,"{'y': 41.371901, 'x': 2.1242361, 'street_count': 4}"
30237078,"{'y': 41.3722245, 'x': 2.1248634, 'street_count': 4}"
30237081,"{'y': 41.372685, 'x': 2.1257544, 'street_count': 3}"
30237100,"{'y': 41.3694511, 'x': 2.1166586, 'street_count': 4}"
30237101,"{'y': 41.3698673, 'x': 2.1174314, 'street_count': 5}"
30237102,"{'y': 41.3733711, 'x': 2.1226625, 'street_count': 5}"
30237103,"{'y': 41.3737502, 'x': 2.123202, 'street_count': 3}"
30237104,"{'y': 41.3741959, 'x': 2.1238666, 'street_count': 4}"
30237118,"{'y': 41.3705962, 'x': 2.1153605, 'street_count': 3}"
30237119,"{'y': 41.3713062, 'x': 2.1170064, 'highway': 'crossing', 'street_count': 3}"
30237155,"{'y': 41.3722556, 'x': 2.1163173, 'street_count': 4}"
30237156,"{'y': 41.3727252, 'x': 2.1173601, 'street_count': 3}"
30237157,"{'y': 41.3734494, 'x': 2.1187341, 'street_count': 3}"
30237158,"{'y': 41.3741656, 'x': 2.1201514, 'street_count': 3}"
30237176,"{'y': 41.3751391, 'x': 2.1202032, 'street_count': 3}"
30237190,"{'y': 41.3724831, 'x': 2.1134044, 'street_count': 3}"
30237192,"{'y': 41.3731584, 'x': 2.1159833, 'street_count': 4}"
30237193,"{'y': 41.3732812, 'x': 2.1164248, 'street_count': 4}"
30237194,"{'y': 41.3734122, 'x': 2.1167202, 'street_count': 3}"
30237195,"{'y': 41.3737311, 'x': 2.1173448, 'street_count': 3}"
30237196,"{'y': 41.3741378, 'x': 2.1181152, 'street_count': 3}"
30237197,"{'y': 41.3746762, 'x': 2.1191958, 'street_count': 5}"
30237233,"{'y': 41.3730496, 'x': 2.1179925, 'street_count': 3}"
30237235,"{'y': 41.3721068, 'x': 2.113787, 'street_count': 3}"
30237237,"{'y': 41.3722877, 'x': 2.1144977, 'street_count': 1}"
30237241,"{'y': 41.3727252, 'x': 2.1161509, 'street_count': 3}"
30237277,"{'y': 41.3735826, 'x': 2.1122549, 'street_count': 3}"
30237278,"{'y': 41.3738412, 'x': 2.1131679, 'street_count': 3}"
30237279,"{'y': 41.3739965, 'x': 2.1137102, 'street_count': 4}"
30237280,"{'y': 41.374212, 'x': 2.1144853, 'street_count': 3}"
30237294,"{'y': 41.3745607, 'x': 2.1148984, 'street_count': 3}"
30237295,"{'y': 41.3734357, 'x': 2.1153987, 'street_count': 3}"
30237306,"{'y': 41.3746416, 'x': 2.1153779, 'street_count': 3}"
30237307,"{'y': 41.3735485, 'x': 2.1158181, 'street_count': 4}"
30237308,"{'y': 41.3716741, 'x': 2.1167345, 'street_count': 3}"
30237312,"{'y': 41.3705111, 'x': 2.1170421, 'street_count': 4}"
30237319,"{'y': 41.3713512, 'x': 2.1145866, 'street_count': 3}"
30237351,"{'y': 41.3730858, 'x': 2.1141817, 'street_count': 3}"
30237352,"{'y': 41.3733133, 'x': 2.1149669, 'street_count': 3}"
30237354,"{'y': 41.374563, 'x': 2.1143053, 'street_count': 3}"
30237355,"{'y': 41.3738378, 'x': 2.1146864, 'street_count': 3}"
30237357,"{'y': 41.373228, 'x': 2.112624, 'street_count': 3}"
30237358,"{'y': 41.3734115, 'x': 2.1131816, 'street_count': 3}"
30237359,"{'y': 41.3736131, 'x': 2.1139072, 'street_count': 4}"
30237362,"{'y': 41.3744812, 'x': 2.1128326, 'street_count': 3}"
30237364,"{'y': 41.3741838, 'x': 2.1129824, 'street_count': 3}"
30237366,"{'y': 41.370562, 'x': 2.1102514, 'street_count': 3}"
30237368,"{'y': 41.3717862, 'x': 2.112078, 'street_count': 4}"
30237370,"{'y': 41.3726098, 'x': 2.1132675, 'street_count': 3}"
30237426,"{'y': 41.3702764, 'x': 2.1107196, 'street_count': 3}"
30237428,"{'y': 41.3713363, 'x': 2.1126296, 'street_count': 4}"
30237432,"{'y': 41.3677982, 'x': 2.1081573, 'street_count': 3}"
30237433,"{'y': 41.3672722, 'x': 2.1085671, 'street_count': 4}"
30237434,"{'y': 41.3666689, 'x': 2.1090962, 'street_count': 3}"
30237435,"{'y': 41.3701078, 'x': 2.098633, 'street_count': 4}"
30237437,"{'y': 41.3708233, 'x': 2.0997911, 'street_count': 4}"
30237438,"{'y': 41.3711777, 'x': 2.1004052, 'street_count': 4}"
30237439,"{'y': 41.3715961, 'x': 2.1010375, 'street_count': 4}"
30237447,"{'y': 41.3713132, 'x': 2.0994934, 'street_count': 3}"
30237448,"{'y': 41.3703147, 'x': 2.1000456, 'street_count': 4}"
30237449,"{'y': 41.3694954, 'x': 2.1005571, 'street_count': 4}"
30237450,"{'y': 41.3688421, 'x': 2.1009781, 'street_count': 3}"
30237452,"{'y': 41.3677898, 'x': 2.1018318, 'street_count': 3}"
30237455,"{'y': 41.3657422, 'x': 2.1036366, 'street_count': 3}"
30237479,"{'y': 41.3819128, 'x': 2.1331909, 'street_count': 3}"
30237481,"{'y': 41.3828477, 'x': 2.1357472, 'street_count': 4}"
30237482,"{'y': 41.3833308, 'x': 2.1370625, 'street_count': 4}"
30237483,"{'y': 41.3840404, 'x': 2.1381687, 'street_count': 4}"
30237484,"{'y': 41.3847771, 'x': 2.1393782, 'street_count': 3}"
30237520,"{'y': 41.3847725, 'x': 2.1352521, 'street_count': 3}"
30237521,"{'y': 41.384249, 'x': 2.1356364, 'street_count': 4}"
30237530,"{'y': 41.3887886, 'x': 2.1363534, 'street_count': 3}"
30237531,"{'y': 41.3885271, 'x': 2.1365669, 'street_count': 4}"
30237532,"{'y': 41.387952, 'x': 2.1371009, 'street_count': 4}"
30237533,"{'y': 41.3868614, 'x': 2.1381582, 'street_count': 3}"
30237538,"{'y': 41.3882225, 'x': 2.1329169, 'street_count': 4}"
30237539,"{'y': 41.3876202, 'x': 2.1335118, 'street_count': 4}"
30237540,"{'y': 41.387364, 'x': 2.1337711, 'street_count': 4}"
30237541,"{'y': 41.3870851, 'x': 2.1340451, 'street_count': 4}"
30237542,"{'y': 41.3865411, 'x': 2.1345827, 'street_count': 3}"
30237549,"{'y': 41.3738905, 'x': 2.1119366, 'street_count': 4}"
30237550,"{'y': 41.3745132, 'x': 2.1134448, 'street_count': 4}"
30237586,"{'y': 41.3856377, 'x': 2.1449091, 'street_count': 4}"
30237587,"{'y': 41.3865079, 'x': 2.1460175, 'street_count': 4}"
30237588,"{'y': 41.3873405, 'x': 2.1471297, 'street_count': 3}"
30237606,"{'y': 41.3857841, 'x': 2.1428299, 'street_count': 5}"
30237607,"{'y': 41.3864653, 'x': 2.1437486, 'street_count': 4}"
30237610,"{'y': 41.3890311, 'x': 2.1471617, 'highway': 'traffic_signals', 'street_count': 3}"
30237612,"{'y': 41.3907397, 'x': 2.1494208, 'street_count': 4}"
30237613,"{'y': 41.3916165, 'x': 2.1505827, 'street_count': 4}"
30237614,"{'y': 41.3924477, 'x': 2.1517144, 'highway': 'traffic_signals', 'street_count': 4}"
30237615,"{'y': 41.3932932, 'x': 2.1528513, 'highway': 'traffic_signals', 'street_count': 4}"
30237616,"{'y': 41.3941584, 'x': 2.1539878, 'street_count': 3}"
30237617,"{'y': 41.3950168, 'x': 2.1551106, 'street_count': 3}"
30237627,"{'y': 41.3882004, 'x': 2.1437777, 'highway': 'traffic_signals', 'street_count': 3}"
30237628,"{'y': 41.3890419, 'x': 2.1448762, 'highway': 'traffic_signals', 'street_count': 4}"
30237629,"{'y': 41.3898783, 'x': 2.1460211, 'street_count': 3}"
30237630,"{'y': 41.3901156, 'x': 2.1462751, 'street_count': 4}"
30237632,"{'y': 41.3916143, 'x': 2.1482746, 'street_count': 4}"
30237633,"{'y': 41.3924805, 'x': 2.1494147, 'highway': 'traffic_signals', 'street_count': 4}"
30237634,"{'y': 41.393332, 'x': 2.1505498, 'highway': 'traffic_signals', 'street_count': 4}"
30237635,"{'y': 41.3941775, 'x': 2.1516724, 'highway': 'traffic_signals', 'street_count': 3}"
30237638,"{'y': 41.3924756, 'x': 2.1539557, 'highway': 'traffic_signals', 'street_count': 4}"
30237639,"{'y': 41.3916167, 'x': 2.1550569, 'highway': 'traffic_signals', 'street_count': 4}"
30237640,"{'y': 41.3907305, 'x': 2.1561894, 'highway': 'traffic_signals', 'street_count': 4}"
30237641,"{'y': 41.3899095, 'x': 2.1573273, 'highway': 'traffic_signals', 'street_count': 4}"
30237642,"{'y': 41.3890454, 'x': 2.1584753, 'highway': 'traffic_signals', 'street_count': 4}"
30237643,"{'y': 41.3881987, 'x': 2.1595996, 'street_count': 4}"
30237645,"{'y': 41.3864884, 'x': 2.1618459, 'street_count': 4}"
30237675,"{'y': 41.4064169, 'x': 2.1333366, 'street_count': 4}"
30237677,"{'y': 41.4054372, 'x': 2.1349603, 'street_count': 4}"
30237678,"{'y': 41.4050021, 'x': 2.1354834, 'street_count': 4}"
30237679,"{'y': 41.4039581, 'x': 2.1366001, 'street_count': 4}"
30237680,"{'y': 41.4034316, 'x': 2.137206, 'street_count': 4}"
30237682,"{'y': 41.402082, 'x': 2.1388602, 'street_count': 4}"
30237683,"{'y': 41.4015806, 'x': 2.1395249, 'street_count': 3}"
30237685,"{'y': 41.4000962, 'x': 2.1415607, 'street_count': 4}"
30237686,"{'y': 41.3996685, 'x': 2.1421317, 'street_count': 4}"
30237689,"{'y': 41.3977935, 'x': 2.1446665, 'street_count': 4}"
30237690,"{'y': 41.3973733, 'x': 2.1452303, 'street_count': 4}"
30237691,"{'y': 41.3968235, 'x': 2.145942, 'street_count': 4}"
30237692,"{'y': 41.3963809, 'x': 2.1464944, 'street_count': 4}"
30237693,"{'y': 41.3959664, 'x': 2.1470516, 'street_count': 4}"
30237694,"{'y': 41.3951788, 'x': 2.1480945, 'street_count': 4}"
30237696,"{'y': 41.3916311, 'x': 2.15282, 'highway': 'traffic_signals', 'street_count': 4}"
30237697,"{'y': 41.3907851, 'x': 2.1539357, 'highway': 'traffic_signals', 'street_count': 4}"
30237698,"{'y': 41.3899154, 'x': 2.1550825, 'highway': 'traffic_signals', 'street_count': 4}"
30237699,"{'y': 41.389047, 'x': 2.1562277, 'highway': 'traffic_signals', 'street_count': 4}"
30237700,"{'y': 41.3881816, 'x': 2.1573688, 'highway': 'traffic_signals', 'street_count': 4}"
30237701,"{'y': 41.3873457, 'x': 2.158471, 'street_count': 4}"
30237703,"{'y': 41.385644, 'x': 2.1607151, 'street_count': 4}"
30237705,"{'y': 41.3837422, 'x': 2.1631957, 'highway': 'traffic_signals', 'street_count': 4}"
30237706,"{'y': 41.3833414, 'x': 2.1637323, 'highway': 'traffic_signals', 'street_count': 3}"
30237768,"{'y': 41.3944136, 'x': 2.1468692, 'highway': 'traffic_signals', 'street_count': 3}"
30237770,"{'y': 41.39331, 'x': 2.1482934, 'street_count': 3}"
30237772,"{'y': 41.3907835, 'x': 2.1516855, 'street_count': 4}"
30237867,"{'y': 41.3900666, 'x': 2.1530072, 'street_count': 3}"
30237873,"{'y': 41.389089, 'x': 2.1540146, 'highway': 'traffic_signals', 'street_count': 4}"
30238005,"{'y': 41.3881709, 'x': 2.1550528, 'highway': 'traffic_signals', 'street_count': 4}"
30238006,"{'y': 41.3873146, 'x': 2.1562424, 'highway': 'traffic_signals', 'street_count': 4}"
30238009,"{'y': 41.3847856, 'x': 2.1595845, 'street_count': 4}"
30238011,"{'y': 41.3828901, 'x': 2.1620984, 'highway': 'traffic_signals', 'street_count': 4}"
30238013,"{'y': 41.3817868, 'x': 2.1635389, 'street_count': 2}"
30238015,"{'y': 41.3813915, 'x': 2.1437928, 'street_count': 4}"
30238016,"{'y': 41.3822224, 'x': 2.1448814, 'street_count': 3}"
30238017,"{'y': 41.3830997, 'x': 2.1459849, 'street_count': 4}"
30238018,"{'y': 41.3839532, 'x': 2.1471627, 'street_count': 4}"
30238020,"{'y': 41.3856604, 'x': 2.1493967, 'street_count': 4}"
30238021,"{'y': 41.3865171, 'x': 2.1505239, 'street_count': 3}"
30238023,"{'y': 41.3882114, 'x': 2.1528384, 'street_count': 4}"
30238025,"{'y': 41.3916393, 'x': 2.1573992, 'highway': 'traffic_signals', 'street_count': 4}"
30238026,"{'y': 41.3924507, 'x': 2.1584718, 'street_count': 4}"
30238027,"{'y': 41.3929991, 'x': 2.1592226, 'street_count': 3}"
30238029,"{'y': 41.394725, 'x': 2.16146, 'highway': 'crossing', 'street_count': 4}"
30238030,"{'y': 41.3958677, 'x': 2.1629713, 'street_count': 4}"
30238031,"{'y': 41.3967437, 'x': 2.1640934, 'street_count': 4}"
30238032,"{'y': 41.3975605, 'x': 2.1652053, 'street_count': 3}"
30238197,"{'y': 41.3760922, 'x': 2.1598198, 'street_count': 4}"
30238198,"{'y': 41.3769505, 'x': 2.1609364, 'street_count': 4}"
